Год,Тип,Название,Соавторы,Издательство,Темы,Страницы,DOI,EDN,Ссылка,Полное описание
2013,Статья в журнале,Трудности стандартизации дошкольного образования,Майер А.А.,,Дошкольное образование,с. 12–16,,,,"Майер А.А., Тимофеева Л.Л. Трудности стандартизации дошкольного образования // Дошкольная педагогика. 2013. № 10 (95). С. 12— 16"
2013,Статья в журнале,Учет особенностей темперамента дошкольников в образовательном процессе ДОУ,Капунова Т.М.; Быковская Ю.А.,Педагогическое общество России,Дошкольное образование,с. 51–94,,,,"Капунова Т.М., Тимофеева Л.Л., Быковская Ю.А. Учет особенностей темперамента дошкольников в образовательном процессе ДОУ. // Повышение профессиональной компетентности педагога дошкольного образования. Выпуск 3 / Под ред. Тимофеевой Л.Л. М.: Педагогическое общество России, 2013. С. 51—94"
2013,Статья в журнале,Формы организации образования старших дошкольников в летний период,,,Дошкольное образование,с. 2–8,,,,Тимофеева Л.Л. Формы организации образования старших дошкольников в летний период. // Детский сад. Все для воспитателя. 2013. № 6. С. 2–8
2012,Статья в журнале,"«Школа будущего первоклассника»: задачи, проблемы, направления реформирования",Бережнова О.В.,,Начальное образование,с. 54–62,,,,"Бережнова О.В., Тимофеева Л.Л. «Школа будущего первоклассника»: задачи, проблемы, направления реформирования // Начальная школа плюс До и После. – 2012. - № 9, с. 54 – 62"
2012,Методическое пособие,Аттестация педагогов системы дошкольного образования: первая и высшая квалификационные категории,Бережнова О.В.; Капунова Т.М.,Педагогическое общество России,Профессиональное развитие педагогов; Дошкольное образование,,,,,"Аттестация педагогов системы дошкольного образования: первая и высшая квалификационные категории. Методические рекомендации. Авторы-составители Тимофеева Л.Л., Бережнова О.В., Капунова Т.М. и др. – М.: Педагогическое общество России, 2012. – 112 с"
2012,Книга,Вариативные модели организации дошкольного образования,Бережнова О.В.,Педагогическое общество России,Дошкольное образование,,,,,"Тимофеева Л.Л., Бережнова О.В. Вариативные модели организации дошкольного образования. – М.: Педагогическое общество России, 2012"
2012,Статья в журнале,Говорят наши дети,Бережнова О.В.,,Профессиональное развитие педагогов; Дошкольное образование,,,,,"Тимофеева Л.Л., Бережнова О.В. Говорят наши дети // Воспитатель ДОУ. – 2012. – № 12. – С. 111"
2012,Статья в журнале,Дошкольные образовательные группы кратковременного пребывания и полного дня на базе детских оздоровительных лагерей,,,Дошкольное образование,с. 11–22,,,,Тимофеева Л.Л. Дошкольные образовательные группы кратковременного пребывания и полного дня на базе детских оздоровительных лагерей // Нормативные документы образовательного учреждения. – 2012. – № 2. – С. 11 – 22
2012,Статья в журнале,Занятия секции по спортивному бадминтону,,,,с. 115–125,,,,Тимофеева Л.Л. Занятия секции по спортивному бадминтону // Инструктор по физкультуре. – 2012. – № 3. – С. 115 – 125
2012,Статья в журнале,Интеграция образовательных областей в процессе формирования культуры безопасности у дошкольников,,,Культура безопасности; Дошкольное образование,с. 82–91,,,,Тимофеева Л.Л. Интеграция образовательных областей в процессе формирования культуры безопасности у дошкольников // Детский сад: теория и практика. – 2012. – № 5. С. 82 – 91
2012,Книга,Интерактивная сказка по мотивам русской народной сказки «Гуси-лебеди»: развивающая кн. для детей ст. дошк. и мл. шк. возраста,,Белый Ветер,,,,,,"Тимофеева Л.Л. Интерактивная сказка по мотивам русской народной сказки «Гуси-лебеди»: развивающая кн. для детей ст. дошк. и мл. шк. возраста. – Мозырь: Белый Ветер, 2012"
2012,Статья в журнале,Метод анализа ситуаций в социально-нравственном воспитании детей,,,Духовно-нравственное воспитание,с. 108–116,,,,Тимофеева Л.Л. Метод анализа ситуаций в социально-нравственном воспитании детей. // Воспитатель ДОУ. – 2012. – № 7. – С. 108 – 116
2012,Статья в журнале,Организация процесса образования дошкольников: основные понятия,Бережнова О.В.,,Дошкольное образование,с. 6–16,,,,"Тимофеева Л.Л., Бережнова О.В. Организация процесса образования дошкольников: основные понятия // Детский сад: теория и практика. – 2012. – № 6. С. 6 – 16"
2012,Статья в журнале,Организация работы детей в процессе проектной деятельности,,,Проектная и исследовательская деятельность,с. 56–62,,,,Тимофеева Л.Л. Организация работы детей в процессе проектной деятельности // Управление начальной школой. – 2012 – № 9. – С. 56 – 62
2012,Статья в журнале,Особенности организации образовательной деятельности в первой младшей группе,Бережнова О.В.,Центр педагогического образования,Планирование образовательной деятельности,с. 3–11,,,,"Тимофеева Л.Л., Бережнова О.В. Особенности организации образовательной деятельности в первой младшей группе // Планирование образовательной деятельности с детьми в режиме дня. Первая младшая группа. Авторы-составители Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. С. 3 – 11"
2012,Статья в журнале,Особенности организации образовательной деятельности в первой младшей группе,Бережнова О.В.,,Профессиональное развитие педагогов; Дошкольное образование,с. 51–62,,,,"Тимофеева Л.Л., Бережнова О.В. Особенности организации образовательной деятельности в первой младшей группе. // Воспитатель ДОУ. – 2012. – № 11. – С. 51 – 62"
2012,Статья в журнале,Планирование образовательного процесса в соответствии с ФГТ: основные принципы и подходы,Бережнова О.В.,Центр педагогического образования,Планирование образовательной деятельности,с. 3–12,,,,"Бережнова О.В., Тимофеева Л.Л. Планирование образовательного процесса в соответствии с ФГТ: основные принципы и подходы // Планирование образовательной деятельности с детьми в режиме дня. Средняя группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. С. 3 – 12"
2012,Статья в журнале,Планирование образовательной деятельности в подготовительной к школе группе,Бережнова О.В.,Центр педагогического образования,Планирование образовательной деятельности,с. 3–9,,,,"Тимофеева Л.Л., Бережнова О.В. Планирование образовательной деятельности в подготовительной к школе группе // Планирование образовательной деятельности с детьми в режиме дня. Подготовительная к школе группа. Издание 2-е, дополненное. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. С. 3 – 9"
2012,Программа / планирование,Планирование образовательной деятельности с детьми в режиме дня. Вторая младшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование образовательной деятельности с детьми в режиме дня. Вторая младшая группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. – 352 с"
2012,Программа / планирование,Планирование образовательной деятельности с детьми в режиме дня. Вторая младшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование образовательной деятельности с детьми в режиме дня. Вторая младшая группа. Издание 2-е, дополненное. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. – 352 с"
2012,Программа / планирование,Планирование образовательной деятельности с детьми в режиме дня. Первая младшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование образовательной деятельности с детьми в режиме дня. Первая младшая группа. Авторы-составители Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. – 304 с"
2012,Программа / планирование,Планирование образовательной деятельности с детьми в режиме дня. Подготовительная к школе группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование образовательной деятельности с детьми в режиме дня. Подготовительная к школе группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. – 496 с"
2012,Программа / планирование,Планирование образовательной деятельности с детьми в режиме дня. Подготовительная к школе группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование образовательной деятельности с детьми в режиме дня. Подготовительная к школе группа. Издание 2-е, дополненное. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. – 496 с"
2012,Программа / планирование,Планирование образовательной деятельности с детьми в режиме дня. Средняя группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование образовательной деятельности с детьми в режиме дня. Средняя группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012"
2012,Статья в журнале,Повышение компетентности педагога по проблеме формирования культуры безопасности у дошкольников,,,Культура безопасности; Профессиональное развитие педагогов,с. 6–18,,,,Тимофеева Л.Л. Повышение компетентности педагога по проблеме формирования культуры безопасности у дошкольников. // Детский сад: теория и практика. – 2012. – № 11. – С. 6 – 18
2012,Статья в журнале,Повышение компетентности родителей в вопросах воспитания культуры безопасности у старших дошкольников,Королева Н.И.,,Культура безопасности; Профессиональное развитие педагогов,с. 61–68,,,,"Тимофеева Л.Л., Королева Н.И. Повышение компетентности родителей в вопросах воспитания культуры безопасности у старших дошкольников. // Дошкольная педагогика. 2012. № 6. С. 61 – 68"
2012,Статья в журнале,Проблема оценки качества профессиональной деятельности воспитателя ДОУ,Бережнова О.В.,,Профессиональное развитие педагогов; Дошкольное образование,с. 4–11,,,,"Тимофеева Л.Л., Бережнова О.В. Проблема оценки качества профессиональной деятельности воспитателя ДОУ. // Дошкольная педагогика. 2012, № 6, с. 4 – 11"
2012,Статья в журнале,Проблема повышения профессиональной компетентности воспитателя,,,Профессиональное развитие педагогов,с. 23–28,,,,Тимофеева Л.Л. Проблема повышения профессиональной компетентности воспитателя // Дошкольное образование Орловской области. Педагогические новации. Выпуск 5. Часть 1. 2012. С. 23 – 28
2012,Статья в сборнике,Проблема подготовки педагога к работе в условиях вариативного дошкольного образования,,,Профессиональное развитие педагогов; Дошкольное образование,с. 365–374,,,http://www.uni-altai.ru/ped-pshyhol/ped-pshyhol_news/.,"Тимофеева Л.Л. Проблема подготовки педагога к работе в условиях вариативного дошкольного образования // Мир детства: парадигмы образования и развития. Сборник материалов I Международной научно-практической (заочной) конференции (4—5 апреля 2012 г., г. Барнаул) / под ред. А.А. Майера. – Барнаул, 2012. – 436 с. Номер госрегистрации обязательного экземпляра электронного издания – 0321300233. С. 365–374"
2012,Статья в журнале,Проблемный подход в образовании старших дошкольников,,,Дошкольное образование,с. 40–50,,,,Тимофеева Л.Л. Проблемный подход в образовании старших дошкольников // Детский сад: теория и практика. – 2012. – № 6. С. 40 – 50
2012,Статья в журнале,Проблемный подход в работе с дошкольниками,,,Дошкольное образование,с. 85–94,,,,Тимофеева Л.Л. Проблемный подход в работе с дошкольниками. // Воспитатель ДОУ. – 2012. – № 6. – С. 85 – 94
2012,Статья в журнале,Проектный метод в дошкольном образовании,,,Проектная и исследовательская деятельность; Дошкольное образование,с. 6–20,,,,Тимофеева Л.Л. Проектный метод в дошкольном образовании // Детский сад: теория и практика. – 2012. – № 9. – С. 6 – 20
2012,Статья в журнале,Психолого-педагогические тренинги в работе с педагогами,Капунова Т.М.,,Начальное образование,с. 23–34,,,,"Тимофеева Л.Л., Капунова Т.М. Психолого-педагогические тренинги в работе с педагогами // Управление начальной школой. – 2012. – № 2. – С. 23 – 34"
2012,Статья в журнале,Разработка структуры урока с опорой на ведущие мотивы деятельности обучающихся,,,Начальное образование,с. 26–35,,,,Тимофеева Л.Л. Разработка структуры урока с опорой на ведущие мотивы деятельности обучающихся // Управление начальной школой. – 2012 – № 7. – С. 26 – 35
2012,Статья в журнале,Реализация принципа преемственности дошкольного и начального общего образования: региональный опыт организационного решения,Бережнова О.В.,,Планирование образовательной деятельности; Дошкольное образование,с. 24–76,,,,"Бережнова О.В., Тимофеева Л.Л. Реализация принципа преемственности дошкольного и начального общего образования: региональный опыт организационного решения // Нормативные документы образовательного учреждения. – 2012. – № 4. – С. 24 – 76"
2012,Статья в журнале,Современное планирование деятельности ДОУ в соответствии с ФГТ,Бережнова О.В.,,Планирование образовательной деятельности; Дошкольное образование,с. 29–49,,,,"Тимофеева Л.Л., Бережнова О.В. Современное планирование деятельности ДОУ в соответствии с ФГТ // Управление ДОУ. – 2012. – № 1. – С. 29 – 49"
2012,Статья в журнале,Современное планирование деятельности ДОУ в соответствии с ФГТ,Бережнова О.В.,ИД «Цветной мир»,Планирование образовательной деятельности; Дошкольное образование,с. 310–311,,,,"Бережнова О.В., Тимофеева Л.Л. Современное планирование деятельности ДОУ в соответствии с ФГТ // Методические рекомендации к примерной основной общеобразовательной программе дошкольного образования «Мир открытий». – М.: ИД «Цветной мир», 2012. С. 310– 311"
2012,Статья в журнале,Современные подходы к планированию образовательной деятельности дошкольного учреждения в соответствии с ФГТ,Бережнова О.В.,ИД «Цветной мир»,Планирование образовательной деятельности; Дошкольное образование,с. 32–44,,,,"Бережнова О.В., Тимофеева Л.Л. Современные подходы к планированию образовательной деятельности дошкольного учреждения в соответствии с ФГТ // Методические рекомендации к примерной основной общеобразовательной программе дошкольного образования «Мир открытий». – М.: ИД «Цветной мир», 2012. С. 32 – 44"
2012,Статья в журнале,Современные подходы к планированию образовательной деятельности дошкольного учреждения в соответствии с ФГТ,Бережнова О.В.,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,с. 3–13,,,,"Тимофеева Л.Л., Бережнова О.В. Современные подходы к планированию образовательной деятельности дошкольного учреждения в соответствии с ФГТ // Планирование образовательной деятельности с детьми в режиме дня. Вторая младшая группа. Издание 2-е, дополненное. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2012. С. 3–13"
2012,Статья в журнале,Создание условий в ДОУ для формирования социально-нравственных компетенций у детей дошкольного возраста,Трубицина Н.Н.; Морева Н.А.; Гольцова Т.В.,,Духовно-нравственное воспитание; Дошкольное образование,с. 28–31,,,,"Тимофеева Л.Л., Трубицина Н.Н., Морева Н.А., Гольцова Т.В. Создание условий в ДОУ для формирования социально-нравственных компетенций у детей дошкольного возраста // Дошкольное образование орловской области. Педагогические новации. Выпуск 5. Часть 1. 2012. С. 28 – 31"
2011,Статья в журнале,Активные методы обучения учителей начальных классов,Бережнова О.В.,,Профессиональное развитие педагогов; Начальное образование,с. 23–33,,,,"Тимофеева Л.Л., Бережнова О.В. Активные методы обучения учителей начальных классов // Управление начальной школой. – 2011. – № 3. – С. 23 – 33"
2011,Методическое пособие,Аттестация педагогических работников дошкольных образовательных учреждений на первую и высшую квалификационные категории,Бережнова О.В.; Капунова Т.М.,Орловский институт усовершенствования учителей,Профессиональное развитие педагогов; Дошкольное образование,,,,,"Аттестация педагогических работников дошкольных образовательных учреждений на первую и высшую квалификационные категории. Методические рекомендации. Авторы-составители Тимофеева Л.Л., Бережнова О.В., Капунова Т.М. и др. – Орел, ОИУУ, 2011. – 96 с"
2011,Статья в журнале,Летние проекты в ДОУ,,,Проектная и исследовательская деятельность; Дошкольное образование,с. 92–97,,,,Тимофеева Л.Л. Летние проекты в ДОУ // Управление ДОУ. – 2011. – № 4. – С. 92 – 97
2011,Статья в журнале,Метод проектов в ДОУ,,,Проектная и исследовательская деятельность; Дошкольное образование,с. 22–28,,,,Тимофеева Л.Л. Метод проектов в ДОУ. // Управление ДОУ. – 2011. – № 3. – С. 22 – 28
2011,Статья в журнале,Организационные формы предшкольного образования в летний период,,Детство-Пресс,Дошкольное образование,с. 27–34,,,,"Тимофеева Л.Л. Организационные формы предшкольного образования в летний период. // Вариативные формы организации предшкольного образования. Сост. О.В. Бережнова. – СПб.: Детство-пресс, 2011. – С. 27 – 34"
2011,Статья в журнале,Организация дошкольных групп на базе пришкольного лагеря,,,Дошкольное образование,с. 36–43,,,,Тимофеева Л.Л. Организация дошкольных групп на базе пришкольного лагеря. // Управление начальной школой. – 2011 – № 4. – С. 36 – 43
2011,Статья в журнале,Особенности работы дошкольных образовательных групп в составе пришкольного лагеря,,,Дошкольное образование,с. 18–27,,,,Тимофеева Л.Л. Особенности работы дошкольных образовательных групп в составе пришкольного лагеря. // Управление начальной школой. – 2011 – № 5. – С. 18 – 27
2011,Программа / планирование,Планирование веучебной деятельности с детьми в режиме дня. Средняя группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование веучебной деятельности с детьми в режиме дня. Средняя группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2011. – Ч.1. – 208 с"
2011,Программа / планирование,Планирование веучебной деятельности с детьми в режиме дня. Средняя группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование веучебной деятельности с детьми в режиме дня. Средняя группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2011. – Ч.2. – 256 с"
2011,Программа / планирование,Планирование внеучебной деятельности с детьми в режиме дня. Подготовительная к школе группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование внеучебной деятельности с детьми в режиме дня. Подготовительная к школе группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2011. – 496 с"
2011,Программа / планирование,Планирование внеучебной деятельности с детьми в режиме дня. Средняя группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование внеучебной деятельности с детьми в режиме дня. Средняя группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2011. – 448 с"
2011,Программа / планирование,Планирование внеучебной деятельности с детьми в режиме дня. Старшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование внеучебной деятельности с детьми в режиме дня. Старшая группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2011. – 464 с"
2011,Программа / планирование,Планирование образовательной деятельности в режиме дня в соответствии с ФГТ,Бережнова О.В.,Центр педагогического образования,Планирование образовательной деятельности,с. 3–9,,,,"Бережнова О.В., Тимофеева Л.Л. Планирование образовательной деятельности в режиме дня в соответствии с ФГТ / Планирование внеучебной деятельности детей в режиме дня. Подготовительная к школе группа. М.: Центр педагогического образования, 2011. С. 3—9"
2011,Статья в журнале,Планирование образовательной деятельности дошкольников в режиме дня в соответствии с ФГТ,Бережнова О.В.,,Планирование образовательной деятельности; Дошкольное образование,с. 13–22,,,,"Тимофеева Л.Л., Бережнова О.В. Планирование образовательной деятельности дошкольников в режиме дня в соответствии с ФГТ // Дошкольная педагогика. 2011, № 8, с. 13 – 22"
2011,Статья в журнале,Повышение профессионального мастерства педагогов современной системы вариативного предшкольного образования,Бережнова О.В.,Детство-Пресс,Профессиональное развитие педагогов; Дошкольное образование,с. 72–83,,,,"Бережнова О.В., Тимофеева Л.Л. Повышение профессионального мастерства педагогов современной системы вариативного предшкольного образования. // Вариативные формы организации предшкольного образования. Сост. О.В. Бережнова. – СПб.: «Детство-пресс», 2011. – С. 72 – 83"
2011,Статья в журнале,Подготовка к школе старших дошкольников в условиях выездного оздоровительного лагеря,Чипинюк И.Е.,Детство-Пресс,Дошкольное образование,с. 176–182,,,,"Чипинюк И.Е., Тимофеева Л.Л. Подготовка к школе старших дошкольников в условиях выездного оздоровительного лагеря. // Вариативные формы организации предшкольного образования. Сост. О.В. Бережнова. – СПб.: «Детство-пресс», 2011. – С. 176 – 182"
2011,Статья в журнале,Построение вариативной системы предшкольного образования в регионе,Бережнова О.В.,Детство-Пресс,Дошкольное образование,с. 5–17,,,,"Бережнова О.В., Тимофеева Л.Л. Построение вариативной системы предшкольного образования в регионе // Вариативные формы организации предшкольного образования. Сост. О.В. Бережнова. – СПб.: Детство-пресс, 2011. – С. 5 – 17"
2011,Книга,Проектный метод в детском саду. «Мультфильм своими руками»,,Детство-Пресс,Проектная и исследовательская деятельность; Дошкольное образование,,,,,"Тимофеева Л.Л. Проектный метод в детском саду. «Мультфильм своими руками». – СПб.: «Детство-пресс», 2011. – 80 с"
2011,Статья в журнале,Расскажем сказку интересно. Интерактивные сказки для дошкольников,,,Дошкольное образование,с. 104–119,,,,Тимофеева Л.Л. Расскажем сказку интересно. Интерактивные сказки для дошкольников. // Воспитатель ДОУ. – 2011. – № 3. – С. 104 – 119
2011,Книга,Ребенок и окружающий мир. Комплексные занятия в подготовительной группе,,Детство-Пресс,Естественно-научная грамотность,,,,,"Тимофеева Л.Л. Ребенок и окружающий мир. Комплексные занятия в подготовительной группе. – СПб.: Детство-пресс, 2011. – 288 с. + иллюстрации"
2011,Книга,Ребенок и окружающий мир. Комплексные занятия в старшей группе,,Детство-Пресс,Естественно-научная грамотность,,,,,"Тимофеева Л.Л. Ребенок и окружающий мир. Комплексные занятия в старшей группе. – СПб.: Детство-пресс, 2011. – 288 с. + иллюстрации"
2011,Статья в журнале,Региональный опыт создания инновационных форм организации дошкольного образования,Бережнова О.В.,,Дошкольное образование,с. 19–29,,,,"Тимофеева Л.Л., Бережнова О.В. Региональный опыт создания инновационных форм организации дошкольного образования. // Детский сад: теория и практика. – 2011. – № 2. – С. 19 – 29"
2011,Статья в журнале,Современный педагог в системе вариативного предшкольного образования,Бережнова О.В.,,Дошкольное образование,с. 6–12,,,,"Тимофеева Л.Л., Бережнова О.В. Современный педагог в системе вариативного предшкольного образования. // Начальная школа плюс До и После. – 2011. – № 4. – С. 6 – 12"
2011,Статья в журнале,Технология модульного планирования внеучебной деятельности дошкольников,Корнеичева Е.Е.; Грачева Н.И.,,Планирование образовательной деятельности; Дошкольное образование,с. 16–25,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Технология модульного планирования внеучебной деятельности дошкольников // Справочник старшего воспитателя. – 2011. – № 3. – С. 16 – 25"
2010,Статья в журнале,"Дошкольные группы для детей, не посещающих ДОУ",Бережнова О.В.,,Дошкольное образование,с. 12–22,,,,"Тимофеева Л.Л., Бережнова О.В. Дошкольные группы для детей, не посещающих ДОУ // Управление дошкольным образовательным учреждением. 2010, № 8, с. 12 – 22"
2010,Книга,Маленькая дверь в волшебный мир загадок,,Дрофа,,,,,,"Тимофеева Л.Л. Маленькая дверь в волшебный мир загадок. – М.: Дрофа, 2010. – 109 с"
2010,Статья в журнале,"Организация образования дошкольников, не посещающих ДОУ",Бережнова О.В.,,Дошкольное образование,с. 10–15,,,,"Тимофеева Л.Л., Бережнова О.В. Организация образования дошкольников, не посещающих ДОУ // Дошкольная педагогика. 2010, № 6, с. 10 – 15"
2010,Статья в журнале,Планирование веучебной деятельности в режиме ДОУ,Корнеичева Е.Е.; Грачева Н.И.,,Планирование образовательной деятельности; Дошкольное образование,с. 83–95,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование веучебной деятельности в режиме ДОУ. // Воспитатель ДОУ. – 2010. – № 9. – С. 83 – 95"
2010,Программа / планирование,Планирование веучебной деятельности с детьми в режиме дня. Вторая младшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование веучебной деятельности с детьми в режиме дня. Вторая младшая группа. Авторы-составители Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2010. – 256 с"
